number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
1,Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,"Grass, Poison",70.0 cm,6.9 kg,##0002 - Ivysaur - https://pokemondb.net/pokedex/ivysaur; ##0003 - Venusaur - https://pokemondb.net/pokedex/venusaur,"[{'name': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'effect': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]"
2,Ivysaur,https://pokemondb.net/pokedex/ivysaur,"Grass, Poison",100.0 cm,13.0 kg,##0003 - Venusaur - https://pokemondb.net/pokedex/venusaur,"[{'name': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'effect': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]"
3,Venusaur,https://pokemondb.net/pokedex/venusaur,"Grass, Poison",200.0 cm,100.0 kg,,"[{'name': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'effect': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'effect': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]"
4,Charmander,https://pokemondb.net/pokedex/charmander,Fire,60.0 cm,8.5 kg,##0005 - Charmeleon - https://pokemondb.net/pokedex/charmeleon; ##0006 - Charizard - https://pokemondb.net/pokedex/charizard,"[{'name': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'effect': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'name': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'effect': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}]"
5,Charmeleon,https://pokemondb.net/pokedex/charmeleon,Fire,110.0 cm,19.0 kg,##0006 - Charizard - https://pokemondb.net/pokedex/charizard,"[{'name': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'effect': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'name': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'effect': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}]"
6,Charizard,https://pokemondb.net/pokedex/charizard,"Fire, Flying",170.0 cm,90.5 kg,,"[{'name': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'effect': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'name': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'effect': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}, {'name': 'Tough Claws', 'desc': 'Powers up moves that make direct contact.', 'effect': 'Tough Claws increases the power of moves that make contact.', 'url': 'https://pokemondb.net/ability/tough-claws'}, {'name': 'Drought', 'desc': 'Summons sunlight in battle.', 'effect': 'Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/drought'}]"
7,Squirtle,https://pokemondb.net/pokedex/squirtle,Water,50.0 cm,9.0 kg,##0008 - Wartortle - https://pokemondb.net/pokedex/wartortle; ##0009 - Blastoise - https://pokemondb.net/pokedex/blastoise,"[{'name': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'effect': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'name': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'effect': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}]"
8,Wartortle,https://pokemondb.net/pokedex/wartortle,Water,100.0 cm,22.5 kg,##0009 - Blastoise - https://pokemondb.net/pokedex/blastoise,"[{'name': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'effect': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'name': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'effect': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}]"
9,Blastoise,https://pokemondb.net/pokedex/blastoise,Water,160.0 cm,85.5 kg,,"[{'name': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'effect': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'name': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'effect': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}, {'name': 'Mega Launcher', 'desc': 'Powers up aura and pulse moves.', 'effect': 'Mega Launcher increases the power of all aura and pulse moves by 50%. Heal Pulse boosts the HP restored by 50%.', 'url': 'https://pokemondb.net/ability/mega-launcher'}]"
10,Caterpie,https://pokemondb.net/pokedex/caterpie,Bug,30.0 cm,2.9 kg,##0011 - Metapod - https://pokemondb.net/pokedex/metapod; ##0012 - Butterfree - https://pokemondb.net/pokedex/butterfree,"[{'name': 'Shield Dust', 'desc': 'Prevents added effects.', 'effect': 'Blocks the added effects of attacks taken.\n', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
